,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
618,2013/5/4,1001,56.7142,2.375935,34.03423,9.440255,9.321769,8.193161,1.542006
623,2013/5/5,1001,50.63228,2.384822,29.22782,9.900646,7.772997,7.91494,1.345995
628,2013/5/6,1001,56.64457,2.603622,31.1095,12.25503,9.282529,9.292711,1.393888
633,2013/5/7,1001,59.74399,2.458556,35.93973,11.21538,8.889978,9.623914,1.240347
638,2013/5/8,1001,36.96307,1.565604,22.63919,5.95532,5.591724,5.47501,1.211237
643,2013/5/9,1001,46.02432,1.985005,24.7255,7.903234,9.798365,7.786566,1.612221
648,2013/5/10,1001,25.81818,1.147555,15.78043,4.05402,3.787249,3.221364,1.048929
653,2013/5/11,1001,26.17269,1.18991,16.30896,4.084904,3.520486,3.267403,1.068429
658,2013/5/12,1001,32.92663,1.472781,20.70193,4.811621,4.498859,4.116746,1.441444
663,2013/5/13,1001,45.16336,1.969692,26.65093,6.790225,8.468822,7.234218,1.283692
668,2013/5/14,1001,27.81068,1.094929,18.21436,4.037873,3.477456,3.171499,0.9860594
673,2013/5/15,1001,33.62435,1.386224,21.16765,5.177391,4.729662,4.660503,1.163424
678,2013/5/16,1001,46.34117,1.900495,27.21343,7.760111,8.14355,7.642196,1.323587
683,2013/5/17,1001,89.62914,3.582662,52.22793,15.20909,16.7205,12.05228,1.888955
688,2013/5/18,1001,60.76191,2.495291,31.37555,12.07318,13.41628,9.430053,1.401607
693,2013/5/19,1001,61.92236,2.312733,42.58319,7.219874,8.317803,6.871247,1.488765
698,2013/5/20,1001,27.02667,1.237927,15.64157,4.459112,4.610877,3.526707,1.077179
703,2013/5/21,1001,33.92052,1.534896,22.30212,4.240565,4.727891,4.631515,1.115052
708,2013/5/22,1001,35.33799,1.58037,21.35093,5.951987,5.294131,5.018494,1.160574
713,2013/5/23,1001,49.2924,1.979169,32.56666,6.717042,6.88752,7.300884,1.142013
718,2013/5/24,1001,49.32102,1.988425,31.18518,8.015519,6.78346,6.551923,1.348437
723,2013/5/25,1001,47.21763,1.998313,25.7142,10.79223,7.423843,7.552888,1.289047
728,2013/5/26,1001,45.8135,1.911107,23.61241,9.827002,9.229647,8.271297,1.233333
733,2013/5/27,1001,43.27972,1.805406,23.14794,8.879136,8.162893,7.944172,1.28434
738,2013/5/28,1001,43.78891,1.817133,28.18109,6.246229,6.418822,6.975561,1.125633
743,2013/5/29,1001,26.4848,1.131059,16.94385,3.790556,3.597934,3.218246,1.021402
748,2013/5/30,1001,28.85412,1.356772,17.00053,4.861556,4.616986,3.520775,1.01828
753,2013/5/31,1001,38.3971,1.597057,25.61429,4.947065,5.025268,5.405258,1.213421
758,2013/6/1,1001,28.65507,1.281259,17.09877,4.701704,4.379654,3.813015,1.193682
763,2013/6/2,1001,40.75174,1.770846,21.67298,8.088549,7.215747,6.957653,2.003621
768,2013/6/3,1001,30.68395,1.338421,17.96164,5.632274,4.172858,4.046256,1.578758
773,2013/6/4,1001,53.83799,2.338605,28.12126,10.72599,10.82589,8.850331,1.826249
778,2013/6/5,1001,62.98265,2.680026,28.75985,14.20067,15.14907,14.6997,2.193035
783,2013/6/6,1001,57.54738,2.430244,27.1638,13.33242,12.90201,10.99408,1.71891
788,2013/6/7,1001,49.11996,2.099706,23.92838,11.3345,9.704747,9.198198,2.052629
793,2013/6/8,1001,45.58634,1.976089,23.10415,10.71566,7.409153,8.391208,2.381288
798,2013/6/9,1001,45.51132,2.025487,25.8187,7.816391,8.1434,7.132962,1.707339
803,2013/6/10,1001,26.75757,1.425197,14.64467,4.268415,5.290641,4.466536,1.128648
808,2013/6/11,1001,25.38381,1.203617,13.93798,4.700314,4.513894,4.519393,1.028009
813,2013/6/12,1001,32.17171,1.596012,14.66266,8.186981,5.96015,6.251387,1.765905
818,2013/6/13,1001,55.31296,2.348633,27.93282,13.85937,9.501488,10.46036,1.670648
823,2013/6/14,1001,66.66202,2.689691,37.17862,15.51033,9.804647,10.76997,1.47873
828,2013/6/15,1001,107.7498,4.350693,63.67591,25.51424,12.1888,12.20801,2.020159
833,2013/6/16,1001,70.56827,2.928046,36.41619,16.37102,13.36771,11.73879,1.485301
838,2013/6/17,1001,24.36472,1.34154,11.61508,5.876577,4.451901,4.4226,1.079618
843,2013/6/18,1001,26.76156,1.386375,14.68611,4.872918,4.668453,4.471209,1.147706
848,2013/6/19,1001,23.50948,1.275681,13.10197,4.137303,3.828397,3.342384,1.16613
853,2013/6/20,1001,20.0928,1.080197,10.17842,3.886543,3.983858,3.06365,0.9637853
858,2013/6/21,1001,21.7202,1.169251,10.88562,4.620462,3.95304,3.497433,1.091828
863,2013/6/22,1001,30.98104,1.582003,15.86848,6.201337,5.698393,5.040337,1.630831
868,2013/6/23,1001,30.38873,1.526618,13.77866,7.680823,5.809281,5.597382,1.593344
873,2013/6/24,1001,52.90836,2.242794,25.39399,13.07782,10.16653,10.23303,2.027227
878,2013/6/25,1001,59.30599,2.468471,27.58024,14.07987,13.40516,11.16956,1.772248
883,2013/6/26,1001,41.94618,1.976382,20.01262,9.72345,7.96812,8.182443,2.265612
888,2013/6/27,1001,32.63887,1.698087,15.02071,8.090171,5.783759,5.902643,2.046145
893,2013/6/28,1001,47.40453,2.204576,22.22571,11.65075,8.689934,9.82956,2.633564
898,2013/6/29,1001,47.24974,2.007596,22.8411,11.54052,8.388438,8.878599,2.472088
